PPG (1000 Hz),ABP (125 Hz),RESP (125 Hz)
2039.06,79.91,14.03
2039.06,66.55,9.79
2101.66,82.46,14.14
2065.89,68.12,10.88
2030.11,82.86,12.18
2056.94,66.24,9.59
2092.72,77.70,10.76
2048.00,73.03,9.95
2119.55,78.15,12.15
2065.89,72.20,10.87
2056.94,73.60,10.35
2083.77,69.10,9.64
2039.06,74.33,9.60
2083.77,74.56,8.20
2146.38,67.22,8.64
2065.89,73.58,8.41
2039.06,65.35,6.11
2074.83,71.79,7.04
2030.11,64.29,5.37
2065.89,71.91,6.45
2048.00,55.89,2.60
2048.00,71.44,6.04
2101.66,54.06,1.63
2065.89,74.07,5.37
2065.89,57.06,3.46
2074.83,72.12,4.21
2083.77,53.40,1.97
2092.72,66.26,3.76
2101.66,51.83,3.30
2101.66,66.04,2.19
2092.72,54.11,0.67
2110.60,66.23,1.79
2083.77,60.42,2.19
2065.89,69.86,2.25
2137.43,65.09,1.45
2083.77,83.36,1.16
2039.06,92.71,1.89
2092.72,98.96,-0.56
2092.72,111.40,0.85
2128.49,117.55,-0.92
2128.49,131.24,0.22
2101.66,125.57,-0.38
2128.49,134.92,-0.45
2137.43,120.62,-1.50
2074.83,127.74,1.07
2083.77,105.66,-1.20
2074.83,114.40,1.45
2137.43,95.83,-2.12
2164.26,111.33,1.14
2128.49,86.11,-2.19
2110.60,104.24,0.17
2110.60,81.53,-1.82
2137.43,101.62,0.25
2092.72,79.17,-2.79
2119.55,95.52,0.14
2039.06,80.58,-3.25
2101.66,91.37,1.71
2083.77,73.91,-2.14
2137.43,80.76,-0.56
2101.66,73.87,-1.35
2065.89,75.42,-1.41
2074.83,68.81,-2.57
2074.83,71.26,-1.73
2101.66,68.02,-1.01
2101.66,67.84,-1.35
2065.89,74.78,-0.21
2074.83,69.91,-2.25
2110.60,80.99,0.84
2074.83,64.21,-2.52
2119.55,83.96,-0.46
2119.55,64.33,-1.22
2092.72,82.74,1.59
2083.77,60.82,-1.47
2056.94,80.59,0.99
2056.94,61.44,-2.14
2110.60,78.44,1.45
2137.43,59.77,-1.68
2074.83,77.61,0.57
2039.06,63.22,-1.55
2101.66,79.30,-0.51
2074.83,59.94,-1.00
2074.83,78.82,-0.14
2083.77,61.05,-1.42
2110.60,69.63,0.96
2065.89,64.29,-2.22
2056.94,66.26,-1.58
2128.49,62.14,-2.39
2164.26,62.91,-3.36
2110.60,69.41,-2.14
2110.60,56.77,-3.53
2110.60,67.73,-2.46
2021.17,59.77,-3.03
2137.43,66.68,-2.21
2101.66,58.02,-4.68
2101.66,69.74,-3.54
2101.66,53.73,-6.26
2128.49,68.10,-3.16
2110.60,53.04,-6.45
2101.66,73.11,-4.23
2137.43,64.94,-6.62
2101.66,91.94,-2.46
2101.66,89.85,-6.72
2146.38,119.96,-4.16
2101.66,110.50,-6.60
2146.38,135.68,-2.80
2110.60,128.62,-5.21
2074.83,142.79,-2.34
2074.83,128.11,-4.42
2092.72,131.56,-3.27
2083.77,118.38,-3.48
2083.77,120.05,-3.80
2083.77,108.52,-2.14
2110.60,108.02,-1.63
2083.77,102.32,-2.61
2092.72,98.73,-2.31
2083.77,100.79,-0.90
2146.38,93.47,-2.27
2039.06,101.88,-0.23
2083.77,82.29,-2.84
2083.77,97.44,-0.62
2083.77,82.93,-2.95
2083.77,91.37,-0.34
2137.43,74.60,-3.84
2074.83,87.64,-1.02
2119.55,68.88,-3.65
2101.66,85.08,-0.23
2101.66,63.95,-4.63
2092.72,80.80,-2.50
2101.66,66.67,-4.70
2074.83,83.69,-2.78
2092.72,69.16,-3.26
2083.77,81.84,-3.76
2074.83,72.14,-4.57
2074.83,81.80,-3.90
2048.00,74.27,-4.88
2074.83,76.63,-3.98
2083.77,73.02,-4.95
2110.60,80.32,-3.88
2128.49,75.10,-3.85
2092.72,72.76,-3.96
2083.77,79.12,-3.18
2083.77,71.79,-5.71
2048.00,83.02,-2.57
2074.83,66.67,-5.27
2065.89,84.40,-3.53
2065.89,64.72,-4.57
2048.00,84.09,-2.99
2074.83,61.50,-6.97
2119.55,81.68,-2.89
2039.06,60.27,-5.17
2119.55,75.46,-2.91
2083.77,61.08,-5.51
2065.89,74.95,-3.36
2119.55,59.94,-6.36
2083.77,73.83,-1.84
2021.17,61.89,-5.02
2101.66,76.27,-3.30
2083.77,56.44,-6.39
2074.83,68.31,-5.17
2065.89,60.34,-5.53
2074.83,68.54,-5.86
2039.06,72.97,-7.68
2092.72,77.80,-5.69
2083.77,80.48,-6.14
2083.77,89.53,-5.86
2128.49,104.02,-5.75
2101.66,110.59,-7.57
2074.83,130.48,-5.17
2056.94,123.48,-8.09
2110.60,141.78,-6.16
2119.55,130.04,-9.04
2119.55,140.35,-5.99
2083.77,119.38,-9.53
2092.72,133.61,-7.30
2119.55,112.25,-10.13
2030.11,121.00,-6.68
2074.83,96.02,-10.45
2092.72,118.51,-7.55
2083.77,95.78,-8.77
2083.77,107.56,-6.82
2039.06,92.78,-8.85
2119.55,102.42,-7.22
2074.83,88.92,-11.17
2146.38,97.54,-8.84
2092.72,86.43,-9.67
2110.60,89.72,-9.03
2137.43,79.43,-10.98
2083.77,83.21,-8.45
2128.49,79.49,-8.22
2110.60,74.37,-9.13
2128.49,74.92,-8.44
2074.83,66.64,-9.78
2065.89,77.99,-8.94
2083.77,68.31,-9.52
2137.43,83.14,-6.24
2101.66,70.89,-9.08
2074.83,86.87,-6.02
2092.72,72.46,-8.49
2074.83,89.15,-5.60
2110.60,73.55,-7.46
2119.55,88.11,-5.02
2074.83,70.75,-7.83
2119.55,83.28,-6.86
2119.55,66.23,-7.48
2101.66,82.27,-4.49
2083.77,65.82,-7.12
2128.49,79.42,-4.17
2092.72,69.89,-5.52
2083.77,77.16,-3.37
2146.38,66.76,-5.59
2101.66,75.99,-4.18
2074.83,64.58,-5.21
2101.66,68.03,-6.17
2101.66,71.29,-3.92
2110.60,68.50,-5.27
2039.06,73.86,-5.65
2083.77,62.64,-5.95
2083.77,72.46,-4.00
2146.38,61.26,-5.25
2065.89,72.06,-4.00
2065.89,59.73,-6.16
2164.26,74.18,-3.10
2110.60,58.61,-6.32
2119.55,74.98,-4.24
2128.49,52.89,-7.38
2101.66,74.72,-4.03
2101.66,61.80,-6.68
2065.89,86.05,-2.69
2092.72,79.10,-4.95
2119.55,107.23,-3.30
2074.83,100.18,-3.88
2110.60,125.24,-2.71
2101.66,129.24,-5.74
2119.55,140.21,-1.37
2092.72,130.78,-3.02
2119.55,137.08,-2.70
2056.94,130.86,-2.19
2083.77,124.82,-1.65
2048.00,120.67,-1.02
2119.55,108.02,-1.71
2039.06,110.96,-0.20
2092.72,101.88,-2.00
2092.72,109.00,-0.33
2074.83,95.80,-0.95
2119.55,105.56,1.06
2110.60,90.79,-1.70
2101.66,108.25,2.42
2083.77,83.17,0.03
2074.83,101.82,3.83
2110.60,74.03,1.31
2048.00,92.14,5.39
2119.55,69.16,3.31
2110.60,83.02,5.01
2092.72,69.84,3.80
2119.55,81.57,5.31
2110.60,63.45,4.32
2101.66,81.00,6.90
2092.72,70.06,5.64
2074.83,76.45,6.05
2074.83,72.11,5.85
2083.77,77.72,6.45
2065.89,73.88,6.55
2101.66,79.51,6.21
2074.83,77.24,6.38
2074.83,71.68,5.93
2110.60,78.96,7.79
2056.94,72.66,5.38
2092.72,77.94,6.39
2074.83,65.04,4.93
2110.60,75.98,7.30
2083.77,61.83,3.53
2074.83,77.77,8.42
2092.72,61.56,5.36
2119.55,77.68,8.26
2074.83,61.63,5.30
2048.00,76.67,8.50
2074.83,57.05,5.55
2030.11,76.92,10.27
2155.32,56.46,6.33
2101.66,73.43,10.11
2101.66,59.00,8.28
2039.06,68.18,10.87
2056.94,59.57,8.63
2110.60,65.11,10.29
2110.60,57.46,10.65
2056.94,67.61,11.87
2083.77,62.38,12.35
2110.60,59.73,12.68
2092.72,58.43,14.92
2056.94,58.14,15.42
2056.94,65.60,15.51
2092.72,58.26,14.42
2012.23,78.32,17.07
2039.06,75.20,16.96
2065.89,96.13,18.70
2074.83,93.77,18.75
2083.77,120.76,21.94
2065.89,115.93,18.71
2119.55,134.65,21.92
2056.94,120.18,21.06
2092.72,139.08,22.44
2083.77,118.42,23.25
2065.89,130.42,25.19
2065.89,109.53,22.10
2039.06,114.01,26.52
2056.94,95.31,23.67
2101.66,103.90,27.01
2056.94,91.82,25.15
2056.94,96.70,28.12
2056.94,88.73,27.34
2039.06,93.05,28.71
2083.77,86.49,29.18
2048.00,88.26,27.71
2110.60,87.11,30.04
2065.89,81.52,30.15
2021.17,84.36,31.81
2039.06,70.73,28.46
2110.60,79.33,31.18
2056.94,63.26,30.91
2119.55,78.31,32.74
2074.83,65.37,30.16
2074.83,78.80,33.73
2065.89,63.23,32.18
2030.11,79.98,36.12
2083.77,61.74,34.87
2039.06,79.37,36.69
2039.06,65.45,34.01
2065.89,81.75,37.87
2030.11,67.65,35.07
2101.66,78.54,37.15
2119.55,63.81,35.54
2074.83,79.90,38.79
2101.66,65.00,37.72
2065.89,75.39,39.25
2056.94,67.08,37.52
2056.94,73.68,38.65
2048.00,109.20,39.87
2092.72,106.45,39.59
2030.11,107.23,41.22
2074.83,98.92,39.56
2074.83,103.12,40.86
2012.23,92.85,39.26
2083.77,100.28,41.51
2048.00,89.51,38.38
2030.11,97.22,41.39
2048.00,78.29,38.13
2012.23,95.43,40.50
2048.00,69.10,36.98
2056.94,80.60,40.04
2039.06,66.57,36.89
2083.77,83.90,38.33
2083.77,64.87,35.36
2048.00,82.14,38.22
2030.11,65.51,36.10
2048.00,83.33,37.60
2039.06,71.78,33.58
2021.17,82.36,35.77
2039.06,77.19,33.06
2074.83,88.19,33.55
2048.00,75.52,31.94
1976.45,80.67,34.48
2039.06,78.64,33.44
2003.28,77.51,32.56
2039.06,79.46,33.82
2003.28,74.20,32.78
2074.83,76.72,34.19
2074.83,69.00,32.31
2003.28,75.76,33.93
2003.28,64.16,32.50
2021.17,78.05,34.70
2003.28,62.05,32.21
2039.06,76.48,35.22
2012.23,60.72,32.19
2021.17,77.32,35.05
2065.89,58.71,31.94
2012.23,81.40,35.06
2039.06,60.96,31.78
2030.11,70.36,32.82
2065.89,59.40,31.42
2074.83,74.36,32.84
1976.45,62.88,30.16
2083.77,72.65,30.87
2021.17,59.84,25.94
2003.28,68.59,28.36
2021.17,64.06,26.78
2021.17,69.00,25.90
1994.34,68.80,23.96
2030.11,75.16,23.86
2003.28,74.52,20.49
2012.23,80.73,19.47
1994.34,96.79,19.58
1949.62,98.57,16.50
1985.40,121.48,17.65
2003.28,119.43,15.09
1985.40,135.31,16.08
1949.62,131.32,13.26
2021.17,140.56,13.54
1958.57,124.03,10.98
1940.68,134.66,13.75
1976.45,111.68,10.18
1985.40,125.14,13.19
2021.17,102.52,10.59
1985.40,114.26,14.03
1994.34,94.68,11.42
2021.17,108.18,13.38
1940.68,93.52,11.31
2021.17,104.40,12.74
2021.17,92.73,11.77
2003.28,99.09,13.89
1994.34,89.98,11.61
1976.45,92.46,13.75
1931.74,81.72,13.20
1994.34,82.86,14.09
2012.23,82.71,12.75
1931.74,72.34,12.75
2012.23,80.04,13.93
1967.51,71.06,13.38
1994.34,86.22,14.08
2003.28,72.79,11.68
1994.34,88.42,14.19
1967.51,72.63,10.19
1949.62,86.17,13.69
2021.17,70.35,9.51
1949.62,88.40,10.28
1994.34,66.79,8.95
2012.23,84.43,11.20
1949.62,71.34,6.54
1967.51,84.95,9.45
1967.51,67.58,5.20
1967.51,86.57,7.26
1985.40,69.85,3.79
2021.17,79.10,5.44
2003.28,69.45,2.34
1976.45,76.16,1.91
2012.23,72.47,1.12
1967.51,73.50,-0.60
1994.34,70.51,-0.78
1994.34,72.79,-0.50
1967.51,74.00,-1.59
1967.51,66.39,-2.43
1976.45,69.82,-1.58
1940.68,61.95,-4.37
1967.51,72.33,-3.64
1940.68,59.37,-3.98
1949.62,72.24,-1.72
1949.62,55.30,-3.48
1931.74,75.81,-2.08
1994.34,55.85,-5.05
1994.34,72.80,-0.25
1949.62,58.05,-3.70
1949.62,75.85,0.73
1958.57,57.22,-1.65
1985.40,82.05,2.05
1958.57,75.24,0.46
1913.85,100.91,4.14
1958.57,96.99,1.32
1931.74,121.45,4.02
1994.34,117.01,4.32
1958.57,133.01,6.44
1958.57,129.86,6.88
1985.40,137.01,8.52
1931.74,131.65,7.06
1949.62,126.52,10.14
1922.79,116.35,9.68
1994.34,113.10,8.45
1958.57,107.00,10.82
1976.45,98.31,8.92
1949.62,101.71,11.16
1949.62,93.41,8.01
1976.45,103.49,10.22
1958.57,90.86,6.97
1958.57,100.57,9.59
1976.45,81.21,5.81
1958.57,97.15,7.21
1940.68,74.30,4.80
1904.91,92.62,7.55
1904.91,65.57,2.32
1940.68,83.07,4.82
1940.68,65.22,1.87
1940.68,73.89,4.55
1958.57,60.74,1.05
1887.02,77.58,1.91
1958.57,65.23,1.01
1994.34,74.53,1.43
1958.57,68.74,-1.19
1913.85,73.21,0.05
1994.34,74.10,0.06
1967.51,72.25,-0.83
1976.45,71.74,-0.53
1958.57,70.78,1.04
1967.51,78.21,-0.26
1967.51,68.11,-2.96
1994.34,78.06,1.15
1940.68,67.04,-1.42
1922.79,78.78,0.43
1976.45,60.15,-1.56
1994.34,77.37,-0.16
2021.17,56.96,-1.75
1931.74,76.14,1.26
1994.34,58.69,-2.53
1967.51,76.15,0.91
1940.68,58.96,-2.46
1967.51,70.98,0.12
2003.28,57.59,-3.10
1967.51,71.49,1.30
1958.57,56.50,-1.83
1994.34,67.78,0.57
1967.51,57.07,-2.20
1958.57,66.96,-0.69
1967.51,56.66,-1.86
1958.57,64.32,-1.23
2012.23,58.47,-1.24
1994.34,59.31,-1.16
2012.23,60.40,-1.56
1976.45,59.32,-1.19
1985.40,63.67,-1.21
1994.34,53.88,-1.34
1949.62,71.68,-0.61
2003.28,68.27,-2.20
1967.51,88.76,0.46
1994.34,86.54,-3.90
1976.45,110.03,-1.49
1958.57,104.68,-4.89
1985.40,131.17,-3.37
2021.17,123.15,-5.47
2003.28,138.98,-4.31
1976.45,118.82,-7.90
2012.23,130.60,-5.31
2012.23,110.06,-9.57
2048.00,118.47,-8.48
2065.89,96.53,-10.59
1985.40,105.33,-10.81
1985.40,91.45,-13.32
1949.62,94.86,-12.24
1994.34,88.99,-14.15
2030.11,89.48,-14.17
2065.89,89.34,-14.00
2048.00,83.89,-15.86
2012.23,84.82,-14.68
2039.06,74.74,-16.66
1985.40,83.14,-15.94
2065.89,74.46,-16.51
2012.23,82.03,-15.18
1994.34,68.95,-17.83
2030.11,73.77,-15.97
2048.00,58.81,-17.85
2030.11,80.14,-16.48
2048.00,59.47,-18.74
2048.00,81.75,-15.95
2039.06,62.34,-18.43
2092.72,81.28,-16.78
2092.72,65.37,-19.57
2056.94,82.84,-15.21
2074.83,68.09,-19.20
2101.66,79.21,-15.53
2092.72,67.12,-17.64
2146.38,79.69,-15.06
2128.49,64.74,-16.72
2119.55,73.37,-18.02
2128.49,67.63,-17.90
2119.55,74.16,-17.09
2155.32,67.05,-19.47
2110.60,68.24,-16.34
2101.66,67.72,-17.02
2137.43,64.23,-16.99
2146.38,68.94,-18.53
2101.66,62.89,-19.31
2110.60,71.40,-18.01
2191.09,61.62,-19.15
2173.21,72.94,-19.06
2155.32,61.29,-22.18
2155.32,70.68,-19.60
2226.86,56.17,-22.98
2173.21,73.00,-20.01
2200.03,56.22,-22.43
2208.98,70.98,-19.92
2253.69,53.80,-23.59
2191.09,71.70,-21.54
2217.92,56.06,-23.76
2271.58,71.28,-20.23
2262.64,59.27,-23.77
2182.15,76.43,-21.60
2262.64,70.24,-23.45
2208.98,91.81,-19.31
2235.81,97.82,-22.19
2235.81,110.50,-21.45
2235.81,117.98,-20.62
2271.58,131.11,-22.17
2235.81,135.86,-19.99
2280.52,133.17,-19.68
2298.41,138.75,-19.89
2253.69,121.91,-20.73
2307.35,124.26,-18.69
2298.41,110.27,-19.70
2298.41,116.46,-17.67
2334.18,100.62,-19.30
2325.24,111.49,-17.01
2334.18,90.48,-17.06
2343.13,106.05,-14.75
2343.13,85.10,-15.90
2325.24,105.43,-14.67
2325.24,82.37,-15.54
2369.96,95.64,-13.61
2325.24,76.60,-16.84
2352.07,91.80,-13.25
2334.18,72.05,-14.84
2369.96,83.82,-14.70
2352.07,66.10,-14.64
2405.73,80.31,-15.02
2387.84,70.63,-16.14
2423.62,76.66,-14.29
2405.73,76.54,-16.93
2396.79,76.34,-16.33
2361.01,78.92,-16.72
2396.79,75.66,-17.11
2414.67,82.60,-16.24
2414.67,71.67,-17.89
2423.62,84.34,-17.13
2441.50,72.34,-19.00
2405.73,82.89,-16.87
2468.33,66.01,-17.98
2468.33,84.33,-15.58
2468.33,65.67,-18.17
2495.16,80.57,-17.51
2513.05,65.12,-18.15
2477.28,77.80,-15.40
2486.22,66.93,-17.43
2450.45,78.42,-14.51
2495.16,60.58,-17.56
2477.28,80.37,-12.91
2495.16,61.99,-15.79
2513.05,74.94,-13.19
2530.93,64.29,-14.90
2548.82,74.75,-11.71
2468.33,64.18,-13.48
2486.22,67.52,-12.30
2504.10,67.06,-12.00
2539.88,66.93,-11.43
2548.82,69.44,-12.62
2530.93,61.86,-12.33
2566.71,69.69,-11.28
2521.99,62.08,-12.46
2566.71,66.74,-10.13
2584.59,56.05,-13.11
2530.93,76.93,-10.67
2584.59,61.16,-14.00
2593.54,85.78,-14.02
2638.25,79.59,-14.86
2620.37,106.61,-12.84
2575.65,101.97,-15.43
2602.48,129.86,-13.69
2602.48,118.41,-17.55
2647.20,141.75,-13.10
2593.54,127.59,-16.33
2682.97,144.67,-14.04
2602.48,122.66,-16.43
2575.65,81.34,-14.40
2593.54,71.96,-16.93
2611.42,78.00,-14.90
2539.88,68.03,-16.47
2656.14,74.37,-14.11
2638.25,75.90,-15.27
2602.48,69.64,-16.24
2638.25,73.56,-13.51
2620.37,62.16,-16.32
2611.42,70.52,-12.97
2620.37,61.20,-13.48
2602.48,75.57,-11.83
2691.91,60.54,-12.14
2656.14,75.68,-12.72
2656.14,55.78,-11.12
2611.42,74.39,-10.10
2638.25,53.40,-11.22
2674.03,71.51,-9.29
2682.97,53.00,-12.55
2682.97,72.19,-7.36
2647.20,60.81,-10.00
2718.74,80.55,-7.70
2682.97,68.29,-9.55
2691.91,94.80,-5.91
2674.03,88.69,-7.77
2647.20,110.26,-7.92
2736.63,114.75,-7.92
2700.86,130.15,-6.63
2665.08,132.20,-6.37
2700.86,133.79,-7.21
2656.14,131.21,-7.40
2674.03,127.71,-6.76
2682.97,126.69,-5.80
2682.97,118.04,-8.19
2700.86,117.74,-6.13
2682.97,102.55,-7.81
2718.74,107.04,-7.00
2682.97,95.45,-7.59
2736.63,107.45,-6.20
2727.69,91.32,-10.11
2727.69,102.11,-7.28
2718.74,86.27,-8.16
2727.69,101.11,-8.38
2691.91,81.79,-10.99
2691.91,93.86,-7.82
2656.14,73.30,-12.12
2709.80,88.51,-8.80
2700.86,63.45,-12.74
2709.80,81.08,-9.16
2745.57,62.85,-12.55
2736.63,74.29,-9.45
2691.91,63.51,-11.75
2727.69,77.25,-10.53
2691.91,68.33,-11.29
2709.80,72.68,-10.58
2763.46,69.67,-8.80
2674.03,73.38,-10.36
2709.80,74.68,-11.51
2736.63,69.64,-9.99
2727.69,78.45,-8.32
2709.80,69.61,-9.33
2745.57,79.32,-7.89
2727.69,61.76,-8.54
2700.86,73.04,-7.22
2718.74,63.32,-7.35
2682.97,76.34,-4.88
2691.91,57.77,-6.72
2727.69,77.49,-1.99
2736.63,58.95,-4.14
2754.52,74.82,-1.04
2754.52,53.73,-3.97
2718.74,74.51,0.15
2727.69,56.92,-0.76
2736.63,70.30,0.64
2727.69,54.87,0.08
2745.57,69.45,1.28
2674.03,57.46,1.46
2718.74,63.19,1.24
2727.69,56.38,0.02
2727.69,61.28,5.07
2718.74,60.70,2.46
2736.63,60.07,3.25
2754.52,60.00,3.47
2763.46,57.68,4.92
2754.52,60.53,7.17
2736.63,56.09,5.75
2718.74,72.78,7.71
2718.74,63.82,8.70
2700.86,84.44,11.04
2718.74,78.75,11.56
2709.80,105.71,15.74
2700.86,101.93,14.42
2709.80,128.96,18.53
2682.97,115.92,19.11
2772.40,139.02,24.22
2736.63,121.81,22.67
2665.08,133.88,27.14
2700.86,116.01,27.13
2709.80,126.13,32.13
2745.57,104.25,31.86
2736.63,112.18,37.92
2754.52,95.74,35.97
2736.63,104.90,40.68
2718.74,92.11,41.41
2718.74,99.41,43.06
2727.69,88.88,44.57
2727.69,88.53,45.85
2700.86,86.93,46.47
2772.40,80.78,46.62
2691.91,85.60,49.43
2718.74,74.41,48.04
2656.14,83.01,50.78
2674.03,68.03,50.03
2727.69,81.27,50.63
2665.08,59.59,47.79
2709.80,75.35,50.04
2727.69,60.10,48.20
2718.74,79.02,50.44
2682.97,63.62,46.32
2727.69,79.11,49.53
2736.63,66.64,45.62
2700.86,84.77,48.49
2718.74,64.98,43.17
2656.14,82.53,45.25
2674.03,67.51,42.85
2700.86,81.43,43.23
2700.86,66.93,40.72
2665.08,76.72,41.55
2691.91,67.09,39.60
2727.69,70.13,38.27
2682.97,66.82,36.98
2665.08,68.96,37.53
2674.03,71.25,38.61
2682.97,67.73,35.89
2709.80,68.21,35.62
2727.69,70.46,34.49
2727.69,72.45,35.26
2718.74,63.11,35.38
2709.80,76.14,38.74
2691.91,58.56,36.51
2665.08,76.29,38.22
2718.74,53.90,36.92
2674.03,72.15,39.24
2709.80,53.82,37.82
2691.91,74.68,38.73
2691.91,56.96,39.01
2691.91,76.64,40.82
2638.25,58.51,38.96
2674.03,73.24,42.42
2682.97,57.13,41.69
2691.91,69.03,42.46
2682.97,71.02,41.62
2682.97,84.22,44.53
2682.97,81.12,43.40
2647.20,101.57,43.16
2709.80,104.60,43.75
2665.08,120.61,44.59
2674.03,132.66,43.36
2656.14,131.33,43.50
2620.37,139.53,44.99
2682.97,128.28,44.13
2629.31,132.21,44.57
2656.14,115.37,43.73
2682.97,126.39,45.26
2611.42,105.68,44.47
2638.25,115.74,46.36
2611.42,96.65,42.69
2656.14,107.12,44.14
2629.31,90.61,42.20
2638.25,109.34,44.72
